name,country,lat,lon,population,capital
Asaka,JP,35.80472,139.60194,141083,0
Asansol,IN,23.68333,86.98333,504271,0
Asela,ET,7.95,39.13333,139500,0
Ash Sharqat,IQ,35.51722,43.22806,160000,0
Ash Shatrah,IQ,31.40906,46.1727,182175,0
Ashaiman,GH,5.69951,-0.03484,190972,0
Ashdod,IL,31.79213,34.64966,226838,0
Ashgabat,TM,37.95,58.38333,1030063,1
Ashikaga,JP,36.33333,139.45,144746,0
Ashkelon,IL,31.66926,34.57149,144073,0
Ashmun,EG,30.29735,30.97641,124483,0
Ashoknagar Kalyangarh,IN,22.86416,88.63701,111475,0
Ashuganj City,BD,24.04016,91.0117,210356,0
Asmara,ER,15.33805,38.93184,563930,1
Assis,BR,-22.66167,-50.41222,105087,0
Assiut,EG,27.18096,31.18368,528669,0
Astana,KZ,51.1801,71.44598,1544142,1
Astanajapura,ID,-6.8017,108.6311,148047,0
Astoria,US,40.77205,-73.93014,150165,0
Astrakhan,RU,46.34968,48.04076,533925,0
Asuncion,PY,-25.28646,-57.647,1482200,1
Aswan,EG,24.09082,32.89942,379774,0
Atani,NG,6.01277,6.74768,230000,0
Atasehir,TR,40.9833,29.1167,361615,0
Atbara,SD,17.70217,33.98638,112021,0
Athens,GR,37.98376,23.72784,664046,1
Athens,US,33.96095,-83.37794,127315,0
Athlone,ZA,-33.96722,18.50214,237414,0
Atibaia,BR,-23.11694,-46.55028,144088,0
Atlanta,US,33.749,-84.38798,510823,0
Atsiaman,GH,5.69775,-0.32824,202932,0
Atsugi,JP,35.44272,139.36931,223960,0
Attock City,PK,33.76671,72.35977,141945,0
Atyrau,KZ,47.1048,51.88427,290700,0
Auckland,NZ,-36.84853,174.76349,1547200,0
Augsburg,DE,48.37154,10.89851,301105,0
Aurangabad,IN,24.75204,84.3742,102244,0
Aurangabad,IN,19.87757,75.34226,1175116,0
Aurora,US,41.76058,-88.32007,200661,0
Aurora,US,39.72943,-104.83192,359407,0
Austin,US,30.26715,-97.74306,974447,0
Avadi,IN,13.1147,80.10981,345996,0
Avarua,CK,-21.2075,-159.77546,13373,1
Avellaneda,AR,-34.66018,-58.36744,367554,0
Avtozavodskyi,UA,49.09753,33.43206,157382,0
Awasa,ET,7.06205,38.47635,422200,0
Awka,NG,6.21269,7.07199,167738,0
Ayacucho,PE,-13.1638,-74.22345,140033,0
Aydin,TR,37.84501,27.83963,163022,0
Az Zawiyah,LY,32.7571,12.72764,200000,0
Az Zubayr,IQ,30.39213,47.70175,122676,0
Az Zulfi,SA,26.29945,44.81542,125000,0
Azamgarh,IN,26.06832,83.18358,116644,0
Azare,NG,11.67478,10.19069,105687,0
Azcapotzalco,MX,19.48698,-99.18594,414711,0
Ba Dinh,VN,21.03652,105.82684,221893,0
Ba GJon,VN,17.75353,106.42355,106413,0
Ba Vi,VN,21.08333,105.38333,282600,0
Bab Ezzouar,DZ,36.72615,3.18291,275630,0
Babol,IR,36.55102,52.6786,202796,0
Bac Giang,VN,21.27307,106.1946,450000,0
Bac Lieu,VN,9.29414,105.72776,156110,0
Bac Ninh,VN,21.18608,106.07631,287658,0
Bac Quang,VN,22.48333,104.86667,118690,0
Bac Tu Liem,VN,21.06532,105.74661,340605,0
Bacabal,BR,-4.23246,-44.78164,103711,0
Bacau,RO,46.56718,26.91384,136087,0
Bachuan,CN,29.84863,106.05046,208520,0
Bacolod City,PH,10.66667,122.95,454898,0
Bacoor,PH,14.45896,120.93851,356974,0
Badajoz,ES,38.87789,-6.97061,150530,0
Badalona,ES,41.45004,2.24741,217741,0
Bade,TW,24.92981,121.28372,209148,0
Badin,PK,24.656,68.837,117455,0
Badlapur,IN,19.15516,73.26553,174226,0
Bafoussam,CM,5.47775,10.41759,373268,0
Bagaha,IN,27.09918,84.09003,112634,0
Bagalkot,IN,16.18673,75.69614,111933,0
Bagcilar,TR,41.03903,28.85671,740069,0
Bagerhat,BD,22.65657,89.79123,266388,0
Baghdad,IQ,33.34058,44.40088,7216000,1
Baghlan,AF,36.13068,68.70829,108449,0
Bago,MM,17.33521,96.48135,244376,0
Bago City,PH,10.53333,122.83333,192993,0
Bagong Silang,PH,14.7783,121.04487,261729,0
Bagong Silangan,PH,14.706,121.108,106886,0
Baguio,PH,16.41639,120.59306,272714,0
Bahadurgarh,IN,28.69287,76.93555,170767,0
Baharampur,IN,24.10473,88.25155,180547,0
Baharestan,IR,32.48814,51.77312,106433,0
Baharkah,IQ,36.31556,44.03533,130518,0
Bahawalnagar,PK,29.99835,73.25272,241873,0
Bahawalnagar,PK,30.55083,73.39083,241873,0
Bahawalpur,PK,29.39779,71.6752,903795,0
Bahcelievler,TR,41.00231,28.8598,576799,0
Bahia Blanca,AR,-38.7176,-62.26545,299101,0
Bahir Dar,ET,11.59364,37.39077,350000,0
Bahraigh,IN,27.57429,81.59474,182218,0
Baia Farta,AO,-12.60417,13.19667,107841,0
Baia Mare,RO,47.65729,23.56808,108759,0
Baicheng,CN,45.61751,122.83302,316970,0
Baidoa,SO,3.11383,43.6498,129839,0
Baidyabati,IN,22.78498,88.32586,115504,0
Bairro da Penha,BR,-23.3684,-46.31102,117691,0
Baise,CN,23.89013,106.62684,686078,0
Baisha,CN,29.06226,106.1189,115761,0
Baishan,CN,41.93853,126.41965,183880,0
Baiyin,CN,36.54696,104.17023,294400,0
Bakersfield,US,35.37329,-119.01871,373640,0
Baku,AZ,40.37767,49.89201,2351300,1
Bakwa,CD,4.1263,27.39527,100575,0
Balakovo,RU,52.02639,47.79671,199572,0
Balashikha,RU,55.79479,37.94794,150103,0
Balasore,IN,21.49266,86.93348,144373,0
Balcon de la Lisa,CU,23.05346,-82.4476,147415,0
Bali,IN,22.64859,88.34115,296973,0
Balikesir,TR,39.64917,27.88611,238151,0
Balikpapan,ID,-1.26753,116.82887,695287,0
Baliuag,PH,14.95472,120.89694,135679,0
Balkh,AF,36.75635,66.8972,114883,0
Ballarat,AU,-37.56622,143.84957,111973,0
Ballari,IN,15.14205,76.92398,410445,0
Balneario Camboriu,BR,-26.99056,-48.63472,139155,0
Balombo,AO,-12.35426,14.77232,108965,0
Balsas,BR,-7.5325,-46.03556,101767,0
Balti,MD,47.76291,27.92854,125000,0
Baltimore,US,39.29038,-76.61219,585708,0
Balurghat,IN,25.22099,88.77732,153279,0
Balvanera,AR,-34.61032,-58.39766,152198,0
Bama,NG,11.52134,13.68952,118121,0
Bamako,ML,12.60915,-7.97522,4227569,1
Bamenda,CM,5.9597,10.14597,420445,0
Ban I Chang,TH,13.71061,99.89617,119858,0
Ban Khlong Prawet,TH,13.71904,100.68146,160671,0
Ban Samae Dam,TH,13.58956,100.38734,125133,0
Banan,CN,29.37861,106.54,508703,0
Banda,IN,25.47758,80.33491,152218,0
Banda Aceh,ID,5.54167,95.33333,267962,0
Bandar Abbas,IR,27.1865,56.2808,352173,0
Bandar Bukit Raja,MY,3.08737,101.43339,146534,0
Bandar Lampung,ID,-5.42917,105.26111,1166066,0
Bandar Mahkota Cheras,MY,3.0542,101.79844,100000,0
Bandar Seri Alam,MY,1.50434,103.87525,220000,0
Bandar Seri Begawan,BN,4.89035,114.94006,64409,1
Bandar Sunway,MY,3.0693,101.6074,200000,0
Bandar Tasik Puteri,MY,3.28531,101.4741,150000,0
Bandar Utama,MY,3.14818,101.61407,200000,0
Bandar-e Anzali,IR,37.47318,49.45785,118564,0
Bandar-e Mahshahr,IR,30.55655,49.18852,162797,0
Bandarban,BD,22.19534,92.21946,495272,0
Bandirma,TR,40.35222,27.97667,107631,0
Bandundu Province,CD,-3.31687,17.38063,202904,0
Bandung,ID,-6.92222,107.60694,2528163,0
Baneh,IR,35.9975,45.8853,110218,0
Banfora,BF,10.64064,-4.75285,117452,0
Bang Bon,TH,13.66185,100.39567,105161,0
Bang Kapi,TH,13.7653,100.647,147800,0
Bang Khae,TH,13.69301,100.40755,193002,0
Bang Khun Thian,TH,13.66302,100.43416,165491,0
Bang Sue,TH,13.81086,100.53064,125440,0
Bangaon,IN,23.04553,88.83084,111693,0
Bangkok,TH,13.75398,100.50144,5104476,1
Bangkok Noi,TH,13.76266,100.47798,117793,0
Bangui,CF,4.36122,18.55496,812407,1
Banha,EG,30.45977,31.1842,182254,0
Bani Mazar,EG,28.49456,30.80526,115759,0
Bani Suwayf,EG,29.07441,31.09785,273151,0
Banja Luka,BA,44.77879,17.20629,221106,0
Banjar,ID,-7.1955,107.4313,209791,0
Banjaran,ID,-7.04528,107.58778,164952,0
Banjarbaru,ID,-3.4406,114.8365,293332,0
Banjarmasin,ID,-3.31987,114.59075,657663,0
Banjul,GM,13.45274,-16.57803,37274,1
Bankura,IN,23.23241,87.0716,133966,0
Bannu,PK,32.98527,70.60403,1357890,0
Banqiao,TW,25.01427,121.46719,551221,0
Bansbaria,IN,22.95387,88.40098,108474,0
Banswara,IN,23.54109,74.4425,101017,0
Banyuwangi,ID,-8.2325,114.35755,117558,0
Bao Loc,VN,11.54798,107.80772,170920,0
Bao'an,CN,22.55213,113.88288,4476554,0
Bao'an Centre,CN,22.57953,113.9163,120170,0
Baoding,CN,38.87288,115.46246,2739887,0
Baoji,CN,34.36775,107.23705,1437802,0
Baoshan,CN,25.11626,99.16366,935618,0
Baoshan,CN,31.40845,121.48956,2265900,0
Baoshan,CN,46.57472,131.39318,123791,0
Baotou,CN,40.6516,109.84389,2150000,0
Baqubah,IQ,33.75403,44.60518,152550,0
Barakaldo,ES,43.29639,-2.98813,100435,0
Baraki,DZ,36.66655,3.09606,105402,0
Barakpur,IN,22.76602,88.36336,148174,0
Baran,IN,25.1,76.51667,117992,0
Baranagar,IN,22.64132,88.37727,260072,0
Baranovichi,BY,53.13255,26.00775,171361,0
Barasat,IN,22.72154,88.48198,298127,0
Barbacena,BR,-21.22583,-43.77361,125317,0
Barcarena,BR,-1.50583,-48.62583,126650,0
Barcelona,ES,41.38879,2.15899,1686208,0
Barcelona,VE,10.1384,-64.68769,815141,0
Barddhaman,IN,23.25572,87.85691,301725,0
Bareilly,IN,28.36678,79.43167,745435,0
